"constructorStandingsId","raceId","constructorId","points.x","position","positionText","wins","constructorRef","name.x","nationality","url.x","constructorResultsId","points.y","status","year","round","circuitId","name.y","date","time","url.y","fp1_date","fp1_time","fp2_date","fp2_time","fp3_date","fp3_time","quali_date","quali_time","sprint_date","sprint_time"
17,19,8,0,11,"11",0,"super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1",21,0,"\N",2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
18,20,1,28,3,"3",1,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren",25,4,"\N",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
19,20,2,30,1,"1",0,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber",24,11,"\N",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
20,20,3,10,4,"4",0,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering",28,1,"\N",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
21,20,4,6,6,"6",0,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One",29,0,"\N",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
22,20,5,2,8,"8",0,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso",32,0,"\N",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
23,20,6,29,2,"2",2,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari",23,18,"\N",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
24,20,7,8,5,"5",0,"toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing",26,3,"\N",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
25,20,9,4,7,"7",0,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing",27,2,"\N",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
26,20,11,0,9,"9",0,"honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1",30,0,"\N",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
27,20,10,0,10,"10",0,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India",31,0,"\N",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
28,20,8,0,11,"11",0,"super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1",33,0,"\N",2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
29,21,1,34,3,"3",1,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren",35,6,"\N",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
30,21,2,35,2,"2",0,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber",36,5,"\N",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
31,21,3,12,4,"4",0,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering",39,2,"\N",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
32,21,4,6,7,"7",0,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One",43,0,"\N",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
33,21,5,2,9,"9",0,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso",44,0,"\N",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
34,21,6,47,1,"1",3,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari",34,18,"\N",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
35,21,7,9,5,"5",0,"toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing",40,1,"\N",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
36,21,9,8,6,"6",0,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing",37,4,"\N",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
37,21,11,3,8,"8",0,"honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1",38,3,"\N",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
38,21,10,0,10,"10",0,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India",41,0,"\N",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
39,21,8,0,11,"11",0,"super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1",42,0,"\N",2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
40,22,1,42,3,"3",1,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren",46,8,"\N",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
41,22,2,44,2,"2",0,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber",47,9,"\N",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
42,22,3,13,4,"4",0,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering",50,1,"\N",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
43,22,4,9,7,"7",0,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One",48,3,"\N",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
44,22,5,2,9,"9",0,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso",54,0,"\N",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
45,22,6,63,1,"1",4,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari",45,16,"\N",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
46,22,7,9,6,"6",0,"toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing",51,0,"\N",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
47,22,9,10,5,"5",0,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing",49,2,"\N",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
48,22,11,3,8,"8",0,"honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1",52,0,"\N",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
49,22,10,0,10,"10",0,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India",53,0,"\N",2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
50,22,8,0,11,"11",0,"super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1",NA,NA,NA,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
51,23,1,53,2,"2",2,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren",55,11,"\N",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
52,23,2,52,3,"3",0,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber",56,8,"\N",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
53,23,3,15,4,"4",0,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering",61,2,"\N",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
54,23,4,9,7,"7",0,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One",62,0,"\N",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
55,23,5,6,8,"8",0,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso",59,4,"\N",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
56,23,6,69,1,"1",4,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari",57,6,"\N",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
57,23,7,9,6,"6",0,"toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing",63,0,"\N",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
58,23,9,15,5,"5",0,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing",58,5,"\N",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
59,23,11,6,9,"9",0,"honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1",60,3,"\N",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
60,23,10,0,10,"10",0,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India",64,0,"\N",2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
61,23,8,0,11,"11",0,"super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1",NA,NA,NA,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
62,24,1,53,3,"3",2,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren",71,0,"\N",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
63,24,2,70,2,"2",1,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber",65,18,"\N",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
64,24,3,15,6,"6",0,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering",72,0,"\N",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
65,24,4,9,7,"7",0,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One",74,0,"\N",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
66,24,5,7,9,"9",0,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso",70,1,"\N",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
67,24,6,73,1,"1",4,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari",68,4,"\N",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
68,24,7,17,5,"5",0,"toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing",67,8,"\N",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
69,24,9,21,4,"4",0,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing",66,6,"\N",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
70,24,11,8,8,"8",0,"honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1",69,2,"\N",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
71,24,10,0,10,"10",0,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India",73,0,"\N",2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
72,24,8,0,11,"11",0,"super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1",NA,NA,NA,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
73,25,1,58,3,"3",2,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren",77,5,"\N",2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
74,25,2,74,2,"2",1,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber",78,4,"\N",2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
75,25,3,15,6,"6",0,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering",83,0,"\N",2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
76,25,4,12,7,"7",0,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One",80,3,"\N",2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
77,25,5,7,9,"9",0,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso",81,0,"\N",2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
78,25,6,91,1,"1",5,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari",75,18,"\N",2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
79,25,7,23,5,"5",0,"toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing",76,6,"\N",2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
80,25,9,24,4,"4",0,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing",79,3,"\N",2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
81,25,11,8,8,"8",0,"honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1",82,0,"\N",2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
82,25,10,0,10,"10",0,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India",84,0,"\N",2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
83,25,8,0,11,"11",0,"super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1",NA,NA,NA,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
84,26,1,72,3,"3",3,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren",85,14,"\N",2008,9,9,"British Grand Prix","2008-07-06","12:00:00","http://en.wikipedia.org/wiki/2008_British_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
85,26,2,82,2,"2",1,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber",86,8,"\N",2008,9,9,"British Grand Prix","2008-07-06","12:00:00","http://en.wikipedia.org/wiki/2008_British_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
