"constructorStandingsId","raceId","constructorId","points","position","positionText","wins","year","round","circuitId","name.x","date","time","url.x","fp1_date","fp1_time","fp2_date","fp2_time","fp3_date","fp3_time","quali_date","quali_time","sprint_date","sprint_time","constructorRef","name.y","nationality","url.y"
11,19,5,2,8,"8",0,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
12,19,6,11,3,"3",1,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
13,19,7,5,6,"6",0,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing"
14,19,9,2,7,"7",0,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing"
15,19,11,0,9,"9",0,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1"
16,19,10,0,10,"10",0,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India"
17,19,8,0,11,"11",0,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1"
18,20,1,28,3,"3",1,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren"
19,20,2,30,1,"1",0,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber"
20,20,3,10,4,"4",0,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
21,20,4,6,6,"6",0,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One"
22,20,5,2,8,"8",0,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
23,20,6,29,2,"2",2,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
24,20,7,8,5,"5",0,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing"
25,20,9,4,7,"7",0,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing"
26,20,11,0,9,"9",0,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1"
27,20,10,0,10,"10",0,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India"
28,20,8,0,11,"11",0,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1"
29,21,1,34,3,"3",1,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren"
30,21,2,35,2,"2",0,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber"
31,21,3,12,4,"4",0,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
32,21,4,6,7,"7",0,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One"
33,21,5,2,9,"9",0,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
34,21,6,47,1,"1",3,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
35,21,7,9,5,"5",0,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing"
36,21,9,8,6,"6",0,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing"
37,21,11,3,8,"8",0,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1"
38,21,10,0,10,"10",0,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India"
39,21,8,0,11,"11",0,2008,4,4,"Spanish Grand Prix","2008-04-27","12:00:00","http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1"
40,22,1,42,3,"3",1,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren"
41,22,2,44,2,"2",0,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber"
42,22,3,13,4,"4",0,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
43,22,4,9,7,"7",0,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One"
44,22,5,2,9,"9",0,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
45,22,6,63,1,"1",4,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
46,22,7,9,6,"6",0,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing"
47,22,9,10,5,"5",0,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing"
48,22,11,3,8,"8",0,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1"
49,22,10,0,10,"10",0,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India"
50,22,8,0,11,"11",0,2008,5,5,"Turkish Grand Prix","2008-05-11","12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1"
51,23,1,53,2,"2",2,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren"
52,23,2,52,3,"3",0,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber"
53,23,3,15,4,"4",0,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
54,23,4,9,7,"7",0,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One"
55,23,5,6,8,"8",0,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
56,23,6,69,1,"1",4,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
57,23,7,9,6,"6",0,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing"
58,23,9,15,5,"5",0,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing"
59,23,11,6,9,"9",0,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1"
60,23,10,0,10,"10",0,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India"
61,23,8,0,11,"11",0,2008,6,6,"Monaco Grand Prix","2008-05-25","12:00:00","http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1"
62,24,1,53,3,"3",2,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren"
63,24,2,70,2,"2",1,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber"
64,24,3,15,6,"6",0,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
65,24,4,9,7,"7",0,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One"
66,24,5,7,9,"9",0,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
67,24,6,73,1,"1",4,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
68,24,7,17,5,"5",0,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing"
69,24,9,21,4,"4",0,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing"
70,24,11,8,8,"8",0,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1"
71,24,10,0,10,"10",0,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India"
72,24,8,0,11,"11",0,2008,7,7,"Canadian Grand Prix","2008-06-08","17:00:00","http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1"
73,25,1,58,3,"3",2,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren"
74,25,2,74,2,"2",1,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber"
75,25,3,15,6,"6",0,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
76,25,4,12,7,"7",0,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One"
77,25,5,7,9,"9",0,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
78,25,6,91,1,"1",5,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
79,25,7,23,5,"5",0,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing"
80,25,9,24,4,"4",0,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing"
81,25,11,8,8,"8",0,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1"
82,25,10,0,10,"10",0,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India"
83,25,8,0,11,"11",0,2008,8,8,"French Grand Prix","2008-06-22","12:00:00","http://en.wikipedia.org/wiki/2008_French_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1"
84,26,1,72,3,"3",3,2008,9,9,"British Grand Prix","2008-07-06","12:00:00","http://en.wikipedia.org/wiki/2008_British_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren"
85,26,2,82,2,"2",1,2008,9,9,"British Grand Prix","2008-07-06","12:00:00","http://en.wikipedia.org/wiki/2008_British_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber"
86,26,3,16,6,"6",0,2008,9,9,"British Grand Prix","2008-07-06","12:00:00","http://en.wikipedia.org/wiki/2008_British_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
87,26,4,15,7,"7",0,2008,9,9,"British Grand Prix","2008-07-06","12:00:00","http://en.wikipedia.org/wiki/2008_British_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One"
88,26,5,7,9,"9",0,2008,9,9,"British Grand Prix","2008-07-06","12:00:00","http://en.wikipedia.org/wiki/2008_British_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
89,26,6,96,1,"1",5,2008,9,9,"British Grand Prix","2008-07-06","12:00:00","http://en.wikipedia.org/wiki/2008_British_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
90,26,7,25,4,"4",0,2008,9,9,"British Grand Prix","2008-07-06","12:00:00","http://en.wikipedia.org/wiki/2008_British_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing"
91,26,9,24,5,"5",0,2008,9,9,"British Grand Prix","2008-07-06","12:00:00","http://en.wikipedia.org/wiki/2008_British_Grand_Prix","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing"
